71,19-07-2015,3.237,11.66,866,10,680.0,286,5,53,1.703
72,20-07-2015,3.278,13.702,1018,21,708.0,246,48,43,1.775
73,21-07-2015,3.04,11.24,835,17,732.0,208,52,24,1.4380000000000002
74,22-07-2015,3.071,13.262,985,20,1.093,166,33,70,1.495
75,23-07-2015,2.984,9.09,675,17,719.0,234,23,23,1.349
76,24-07-2015,3.468,15.779000000000002,1172,23,618.0,346,48,21,2.073
77,25-07-2015,2.7060000000000004,6.1739999999999995,459,3,677.0,231,13,4,1.046
78,26-07-2015,3.09,11.614,863,9,503.0,301,2,40,1.5730000000000002
79,27-07-2015,3.091,13.46,10,13,822.0,190,29,64,1.527
80,28-07-2015,2.98,10.0,743,13,803.0,230,44,11,1.37
81,29-07-2015,3.138,10.68,794,16,634.0,322,21,4,1.6280000000000001
82,30-07-2015,3.2460000000000004,14.105,1048,20,718.0,225,60,44,1.7269999999999999
83,31-07-2015,2.654,9.193999999999999,683,20,784.0,198,7,0,914.0
84,01-08-2015,3.4530000000000003,17.497,1302,11,1.092,219,54,45,1.673
85,02-08-2015,2.6510000000000002,5.765,428,8,544.0,245,6,6,1.0390000000000001
86,03-08-2015,3.42,15.362,1141,16,683.0,226,65,54,1.883
87,04-08-2015,2.863,9.87,733,20,793.0,186,28,32,1.225
88,05-08-2015,3.326,14.502,1078,34,520.0,250,41,59,1.838
89,06-08-2015,3.472,14.652000000000001,1089,26,562.0,350,42,20,2.079
90,07-08-2015,2.8489999999999998,7.627999999999999,567,11,638.0,283,11,8,1.297
91,08-08-2015,3.168,13.877,1031,32,609.0,206,57,51,1.6380000000000001
92,09-08-2015,3.109,11.433,849,15,561.0,236,40,35,1.564
93,10-08-2015,3.139,13.655,1015,13,985.0,285,8,23,1.617
94,11-08-2015,2.8569999999999998,13.535,1008,7,1.348,44,4,14,347.0
95,12-08-2015,2.055,1.883,14,1,1.37,70,0,0,287.0
96,13-08-2015,3.218,11.354000000000001,844,8,694.0,366,4,10,1.7180000000000002
97,14-08-2015,3.01,11.532,857,4,572.0,301,26,10,1.5419999999999998
98,15-08-2015,2.813,6.129,455,3,635.0,256,8,1,1.159
99,16-08-2015,2.7060000000000004,6.2379999999999995,464,3,688.0,267,0,0,1.084
100,17-08-2015,3.6830000000000003,15.572000000000001,1157,9,515.0,472,33,14,2.362
101,18-08-2015,3.1060000000000003,10.886,809,19,639.0,292,27,20,1.578
102,19-08-2015,3.217,12.213,907,6,421.0,381,13,8,1.834
103,20-08-2015,3.4210000000000003,12.929,961,4,565.0,425,25,18,2.07
104,21-08-2015,3.3819999999999997,16.365,1216,5,461.0,329,45,16,1.95
105,22-08-2015,3.498,17.252,1282,15,481.0,382,19,42,2.164
106,23-08-2015,3.2880000000000003,14.537,108,3,518.0,345,19,47,1.9369999999999998
107,24-08-2015,3.215,13.404000000000002,996,18,685.0,192,38,71,1.6480000000000001
108,25-08-2015,3.063,10.94,813,12,697.0,199,52,50,1.53
109,26-08-2015,2.928,10.032,745,13,757.0,175,45,45,1.328
